Gas.cons	Age.band	Type	Floor.area.band	Loft.depth	Cavity.wall.ins	New.boiler
17000	3	Semi-detached	2	Gr	N	N
15700	2	Semi-detached	3	Gr	Y	Y
7000	6	Detached	3	Gr	N	N
21500	3	Semi-detached	3	Gr	N	N
3500	4	Flat	2	Gr	N	Y
4000	3	Semi-detached	2	Le	N	N
7000	2	Mid-terrace	2	Gr	N	Y
7500	3	Semi-detached	2	Gr	Y	Y
5000	3	Bungalow	1	Gr	Y	N
2000	4	Flat	1	Gr	N	Y
18000	6	Detached	2	Gr	N	N
1500	4	Flat	1	Gr	Y	N
16500	4	Semi-detached	2	Le	N	N
4500	1	Semi-detached	3	Le	N	N
16000	2	Semi-detached	3	Gr	Y	N
12000	4	End-terrace	2	Gr	Y	Y
10400	5	Mid-terrace	2	Gr	N	Y
8200	3	End-terrace	2	Gr	N	N
17500	4	Bungalow	2	Le	Y	N
32000	4	Detached	4	Gr	N	N
20500	3	End-terrace	3	NA	Y	N
23000	4	Semi-detached	3	NA	N	N
21000	4	Mid-terrace	3	Gr	N	N
15000	3	Semi-detached	2	Gr	Y	N
16500	2	Semi-detached	2	Gr	Y	N
11200	3	Semi-detached	2	Le	N	N
18000	4	Semi-detached	2	Gr	N	Y
21000	3	Semi-detached	2	Gr	N	N
12800	4	Semi-detached	2	Le	N	N
4000	1	Mid-terrace	2	Gr	Y	Y
9600	2	Bungalow	2	Gr	N	N
16500	5	Detached	2	Gr	Y	Y
13000	2	Bungalow	2	Gr	N	N
9000	3	Mid-terrace	2	Gr	Y	N
13700	2	Semi-detached	2	Gr	Y	N
8100	1	Semi-detached	2	Gr	N	N
25000	6	Detached	3	Gr	Y	N
NA	4	Flat	1	Gr	N	N
9900	2	Semi-detached	3	Gr	Y	N
16000	2	Mid-terrace	2	Gr	N	Y
15100	3	Semi-detached	2	Gr	N	N
NA	6	Detached	4	NA	N	N
8100	3	Semi-detached	2	Gr	N	Y
20500	4	Detached	4	NA	Y	Y
17000	5	Detached	4	Gr	N	Y
8100	2	Semi-detached	2	Le	Y	N
12800	2	Semi-detached	3	Gr	N	N
13500	4	Detached	2	Gr	N	Y
15900	6	Semi-detached	2	Le	N	N
25000	1	Bungalow	3	Gr	Y	N
12400	4	End-terrace	2	Gr	Y	Y
22000	3	Semi-detached	2	Le	N	N
3500	1	Bungalow	2	Gr	N	N
2000	3	Mid-terrace	3	NA	Y	Y
NA	3	Bungalow	2	Le	N	Y
NA	1	Detached	4	NA	N	N
17000	3	Semi-detached	2	Gr	N	Y
11800	4	Mid-terrace	2	Gr	Y	Y
14600	2	Semi-detached	3	Gr	N	Y
19000	3	Semi-detached	2	Gr	N	Y
21500	2	Semi-detached	3	Gr	Y	N
7000	5	Semi-detached	2	Gr	N	Y
13500	3	Semi-detached	3	Gr	N	Y
23500	6	Detached	3	Le	N	N
10500	3	Semi-detached	2	Gr	N	Y
18500	5	Detached	3	Gr	N	N
29000	1	Bungalow	2	Gr	N	N
14800	4	Bungalow	2	Gr	N	N
7500	6	Flat	2	NA	N	N
4500	2	Flat	1	Gr	N	Y
8000	1	Mid-terrace	3	Gr	Y	N
18500	3	Semi-detached	3	Le	Y	N
45000	3	Bungalow	2	Gr	N	N
20000	3	Semi-detached	3	Gr	Y	N
40000	1	Flat	2	Gr	N	N
9200	2	Semi-detached	3	Gr	Y	Y
18500	2	Mid-terrace	3	NA	Y	N
17500	3	Semi-detached	2	Gr	N	N
23000	1	Mid-terrace	3	Gr	N	N
13300	4	Semi-detached	2	Gr	N	N
7500	3	Flat	1	Gr	N	N
7000	3	Semi-detached	2	Gr	Y	N
16500	6	Detached	3	Gr	N	N
5000	3	Semi-detached	2	Gr	N	Y
16500	4	End-terrace	3	Gr	Y	N
34000	6	Detached	4	NA	N	N
15000	6	Detached	2	Gr	Y	N
25000	3	Semi-detached	3	Gr	Y	N
9400	2	Semi-detached	2	Gr	N	Y
17500	1	Mid-terrace	3	Gr	Y	N
NA	6	End-terrace	2	Gr	N	N
NA	3	Mid-terrace	2	Gr	N	N
14700	2	Semi-detached	2	Gr	N	Y
10400	1	Semi-detached	2	Gr	Y	Y
25000	1	Semi-detached	2	Gr	Y	N
17500	5	Mid-terrace	2	NA	N	N
12800	2	Semi-detached	2	Gr	Y	N
20000	4	Detached	3	Gr	N	Y
20500	2	Mid-terrace	3	NA	Y	N
11500	5	Bungalow	2	Gr	Y	N
22500	2	Semi-detached	2	Gr	Y	N
9100	5	Semi-detached	2	Gr	N	N
3000	6	Flat	2	NA	N	N
14900	3	Semi-detached	2	Gr	N	N
16500	2	Semi-detached	2	Gr	N	N
8000	1	End-terrace	2	Gr	Y	Y
11200	4	End-terrace	2	Gr	Y	Y
21500	3	Semi-detached	3	Gr	Y	N
7000	2	Flat	2	NA	Y	N
16500	5	Semi-detached	3	Gr	N	Y
8700	3	Flat	2	NA	N	N
3000	4	Mid-terrace	2	Gr	N	N
15600	2	Bungalow	2	Gr	N	N
8200	3	Flat	1	NA	N	N
500	6	Flat	2	NA	N	Y
11100	3	Flat	1	NA	N	N
18000	3	Mid-terrace	2	Le	N	N
1500	1	Mid-terrace	2	Gr	N	N
14300	4	Mid-terrace	3	Gr	N	N
22000	3	Bungalow	3	Gr	N	N
14700	4	Detached	3	Gr	Y	Y
12500	2	Semi-detached	2	Gr	Y	N
13500	3	Semi-detached	2	Le	N	Y
17500	2	Bungalow	2	Le	N	N
23000	4	Detached	3	Le	N	N
19000	4	Detached	4	Gr	N	N
10300	3	Semi-detached	3	Gr	Y	N
13100	3	Semi-detached	2	Gr	Y	N
3500	3	End-terrace	3	Gr	Y	N
3000	3	Semi-detached	2	NA	Y	Y
29000	4	End-terrace	3	Gr	Y	N
4500	2	Bungalow	2	Gr	Y	Y
9000	2	Mid-terrace	2	Gr	N	Y
15400	3	Semi-detached	2	Le	Y	N
17000	1	Mid-terrace	3	Gr	N	Y
7500	2	Mid-terrace	3	Gr	N	Y
18500	4	Detached	2	Le	N	N
17000	2	Semi-detached	3	Gr	Y	N
13400	3	Semi-detached	2	Gr	Y	N
11000	6	Detached	2	NA	N	N
20500	4	Detached	3	Gr	N	N
12000	3	Mid-terrace	2	Gr	N	Y
19500	2	Semi-detached	3	Gr	Y	Y
12200	6	Bungalow	2	Gr	N	Y
29000	5	Bungalow	3	NA	Y	N
9800	3	Semi-detached	2	Gr	N	Y
12900	4	Semi-detached	2	Gr	Y	N
17500	3	Detached	3	Gr	N	N
12700	3	Semi-detached	2	Gr	Y	Y
11400	4	Mid-terrace	3	Gr	Y	Y
15900	1	Semi-detached	2	Gr	N	N
12900	4	Mid-terrace	2	Gr	Y	N
16000	3	End-terrace	3	Gr	N	N
4500	1	Mid-terrace	2	Le	N	N
13100	1	Flat	2	Gr	N	N
9000	2	Semi-detached	3	Gr	N	N
18000	4	Semi-detached	2	Le	N	N
14100	1	Mid-terrace	2	Gr	Y	N
13000	3	Detached	3	Gr	N	N
5000	5	Flat	1	Gr	N	Y
10600	3	Bungalow	2	Gr	N	Y
5000	2	Semi-detached	2	Gr	Y	N
19000	2	Semi-detached	2	Gr	Y	N
11900	1	Bungalow	2	Gr	N	N
6500	3	End-terrace	2	Gr	Y	Y
8000	6	Mid-terrace	2	Gr	N	N
8300	3	Bungalow	2	Le	Y	N
15900	6	Detached	4	Gr	N	N
12300	6	Semi-detached	2	Gr	N	N
6500	6	Semi-detached	2	Gr	N	Y
29000	1	Mid-terrace	2	Gr	N	N
13700	3	Semi-detached	3	Gr	Y	N
11400	1	Semi-detached	2	Gr	N	N
17000	3	Bungalow	2	Gr	Y	Y
15400	2	Bungalow	2	Gr	N	N
20500	6	Mid-terrace	3	Gr	N	N
8200	3	Bungalow	2	Gr	Y	Y
6000	4	Flat	1	NA	N	N
12800	4	Mid-terrace	2	Gr	N	N
8600	3	Bungalow	2	Gr	N	N
18000	3	End-terrace	2	Gr	N	N
16000	3	Semi-detached	2	Gr	Y	N
22000	4	Detached	4	Gr	N	N
11500	2	End-terrace	2	Le	N	N
14100	4	Detached	3	Le	N	Y
21000	3	Semi-detached	3	NA	N	Y
28000	4	Detached	2	Gr	Y	N
13800	3	Semi-detached	2	Gr	Y	N
6500	5	Detached	3	Gr	N	Y
7000	1	Mid-terrace	2	Gr	Y	N
19000	1	Mid-terrace	2	Gr	N	N
10500	5	Semi-detached	2	Gr	N	N
35000	1	Mid-terrace	4	NA	N	N
8400	3	Semi-detached	3	Gr	N	N
17500	1	Mid-terrace	3	Gr	N	Y
14800	4	Semi-detached	2	Gr	Y	N
1500	6	Mid-terrace	2	Gr	N	N
10700	3	Mid-terrace	2	Gr	N	N
3000	1	Mid-terrace	2	Gr	N	N
27000	5	Detached	3	Gr	N	Y
8800	5	Bungalow	2	Le	N	N
13100	3	Mid-terrace	2	Gr	N	N
16000	3	Mid-terrace	2	Gr	Y	Y
14500	2	Flat	2	Gr	N	N
16500	3	Bungalow	2	Gr	Y	Y
13500	4	Mid-terrace	2	Gr	N	N
NA	4	Mid-terrace	2	Gr	Y	Y
10800	4	Flat	1	NA	N	N
12100	3	Mid-terrace	2	Gr	Y	N
22000	4	Semi-detached	3	Gr	N	N
5000	4	Flat	2	NA	N	N
15300	4	Bungalow	2	Gr	N	N
10000	2	End-terrace	3	Gr	N	N
18000	4	End-terrace	2	Gr	N	N
19000	1	Flat	2	Gr	N	N
28000	4	Bungalow	3	Gr	Y	N
15100	1	Mid-terrace	3	Gr	Y	N
10200	2	Semi-detached	2	Gr	Y	Y
14400	3	End-terrace	2	Gr	Y	N
NA	4	Flat	1	NA	N	N
9300	1	Mid-terrace	2	Gr	N	N
13500	6	Mid-terrace	3	NA	N	N
12700	4	Detached	3	Gr	N	Y
7000	1	End-terrace	2	Gr	Y	N
13500	3	Semi-detached	2	Le	Y	N
15500	2	End-terrace	2	Gr	Y	Y
25000	3	Semi-detached	2	Gr	N	N
21500	6	Detached	3	NA	Y	N
25000	2	Semi-detached	4	NA	Y	N
